individu;groupe
8;1
10;1
32;1
59;1
63;1
129;2
3;3
12;3
31;3
41;3
48;3
50;3
54;3
74;3
75;3
79;3
83;3
94;3
98;3
102;3
110;3
111;3
112;3
122;3
139;3
145;3
15;4
23;4
52;4
61;4
92;4
124;4
34;5
47;5
64;5
73;5
85;5
100;5
135;5
137;5
5;6
6;6
14;6
36;6
88;6
90;6
108;6
114;6
2;7
13;7
19;7
30;7
35;7
38;7
84;7
96;7
99;7
104;7
105;7
16;8
81;8
103;8
91;9
93;9
97;9
138;9
140;9
151;9
155;9
20;10
27;10
55;10
71;10
77;10
80;10
87;10
89;10
101;10
107;10
119;10
